project_name,project_url,Aggregate,Binary-Artifacts,Branch-Protection,CI-Tests,CII-Best-Practices,Code-Review,Contributors,Dangerous-Workflow,Dependency-Update-Tool,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
django-ses/django-ses,https://github.com/django-ses/django-ses,5.8,10,3,9,0,6,10,10,10,0,10,8,10,0,0,0,-1,0,9
django-wiki/django-wiki,https://github.com/django-wiki/django-wiki,5.9,10,1,10,0,4,10,-1,10,0,10,10,-1,-1,0,0,-1,-1,10
djblets/djblets,https://github.com/djblets/djblets,4.4,10,0,-1,0,0,10,-1,10,0,0,10,-1,-1,0,0,-1,-1,6
dmwm/wmcore,https://github.com/dmwm/wmcore,5.2,10,0,8,0,5,10,10,10,0,10,10,-1,0,0,0,-1,0,6
drakkar-software/octobot,https://github.com/drakkar-software/octobot,6.2,10,8,10,0,10,10,10,10,0,10,10,10,0,0,0,0,0,9
dscho/hg,https://github.com/dscho/hg,2.8,10,0,-1,0,0,10,-1,0,0,10,0,-1,0,0,0,-1,-1,10
dw/mitogen,https://github.com/dw/mitogen,3.5,6,1,10,0,0,6,10,0,0,10,10,-1,0,0,0,0,0,8
embedchain/embedchain,https://github.com/embedchain/embedchain,4.4,10,3,4,0,6,10,10,0,0,10,10,10,0,0,0,-1,0,0
erinxocon/requests-xml,https://github.com/erinxocon/requests-xml,1.6,10,0,-1,0,0,3,-1,0,0,10,0,-1,-1,0,0,-1,-1,0
espressif/esptool,https://github.com/espressif/esptool,2.5,1,3,10,0,0,10,0,0,0,10,10,-1,0,0,0,0,0,10
ethereum/eth-abi,https://github.com/ethereum/eth-abi,3.7,10,3,8,0,5,10,-1,0,0,10,0,-1,0,0,0,-1,-1,10
ethereum/eth-account,https://github.com/ethereum/eth-account,5.7,10,3,10,0,4,10,-1,10,0,10,10,-1,0,0,0,-1,-1,10
ethereum/py-evm,https://github.com/ethereum/py-evm,4.1,10,3,10,0,5,10,-1,0,0,10,3,-1,0,0,0,-1,-1,10
eugeny/ajenti,https://github.com/eugeny/ajenti,1.4,10,0,-1,0,0,10,-1,0,0,0,0,-1,0,0,0,-1,-1,0
excid3/python-apt,https://github.com/excid3/python-apt,3,10,0,0,0,5,0,-1,0,0,10,0,-1,-1,0,0,-1,-1,10
faucetsdn/ryu,https://github.com/faucetsdn/ryu,5.5,10,8,0,0,10,10,10,10,0,10,0,-1,0,0,0,-1,0,10
fedora-infra/bodhi,https://github.com/fedora-infra/bodhi,5.8,10,1,10,0,1,10,10,10,0,10,10,-1,0,10,0,-1,0,10
fedora-infra/fedmsg,https://github.com/fedora-infra/fedmsg,3.3,10,0,0,0,4,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10
fedora-infra/python-fedora,https://github.com/fedora-infra/python-fedora,3.8,10,0,0,0,5,10,-1,0,0,10,0,-1,-1,0,0,8,-1,10
felixschwarz/mjml-python,https://github.com/felixschwarz/mjml-python,4.3,10,3,10,0,0,10,10,0,0,10,3,-1,0,0,0,8,0,10
figlief/ctx,https://github.com/figlief/ctx,2.6,10,0,-1,0,0,0,-1,0,0,10,0,-1,-1,0,0,-1,-1,10
flask-middleware/flask-security,https://github.com/flask-middleware/flask-security,2.2,10,0,-1,0,0,0,-1,0,0,0,0,-1,-1,0,0,-1,-1,10
flink-extended/ai-flow,https://github.com/flink-extended/ai-flow,2.8,8,6,0,0,0,6,10,0,0,10,0,10,0,0,0,0,0,0
fluture-js/fluture-node,https://github.com/fluture-js/fluture-node,4,10,8,0,0,1,10,10,0,0,10,0,-1,0,0,0,-1,0,10
fredrik-johansson/mpmath,https://github.com/fredrik-johansson/mpmath,4.6,10,0,8,0,1,10,10,0,0,10,10,10,0,0,0,-1,0,10
freeopcua/opcua-asyncio,https://github.com/freeopcua/opcua-asyncio,6.7,10,3,10,0,8,10,10,10,0,10,10,10,0,9,0,-1,0,10
freetakteam/ui,https://github.com/freetakteam/ui,2.6,0,0,6,0,1,6,10,0,0,10,0,10,0,0,0,-1,0,5
frostming/rediswrapper,https://github.com/frostming/rediswrapper,2.7,10,0,0,0,0,3,10,0,0,10,0,-1,0,0,0,-1,0,6
furlongm/openvpn-monitor,https://github.com/furlongm/openvpn-monitor,4.4,10,3,0,0,1,10,10,10,0,10,0,-1,0,7,0,0,0,10
fusionbox/django-widgy,https://github.com/fusionbox/django-widgy,1.6,9,0,0,0,0,10,-1,0,0,9,0,-1,-1,0,0,-1,-1,0
ganga-devs/ganga,https://github.com/ganga-devs/ganga,5.2,9,8,6,0,10,10,0,10,0,10,8,-1,0,0,0,-1,0,10
gevent/gevent,https://github.com/gevent/gevent,4.8,10,0,6,0,0,10,10,10,0,9,10,10,0,0,0,0,0,9
giampaolo/pyftpdlib,https://github.com/giampaolo/pyftpdlib,4.1,10,0,7,0,0,6,10,0,0,10,10,-1,0,0,0,-1,0,10
git-big-picture/git-big-picture,https://github.com/git-big-picture/git-big-picture,5.4,10,0,10,0,0,10,10,10,0,10,10,-1,5,0,0,-1,0,10
grahamdumpleton/mod_wsgi,https://github.com/grahamdumpleton/mod_wsgi,4.1,10,0,0,0,1,10,10,0,0,10,10,-1,0,0,0,-1,0,10
gramaddict/bot,https://github.com/gramaddict/bot,4.3,10,3,5,0,0,10,10,10,0,10,0,-1,0,0,0,-1,0,8
graphite-project/graphite-web,https://github.com/graphite-project/graphite-web,6.1,10,3,10,0,2,10,10,10,0,10,10,-1,0,10,0,-1,0,10
guake/guake,https://github.com/guake/guake,5.1,10,6,3,0,5,10,10,10,0,10,8,10,0,0,0,-1,0,0
gventuri/pandas-ai,https://github.com/gventuri/pandas-ai,3.7,10,1,1,0,5,10,10,0,0,9,10,-1,0,0,0,-1,0,0
hail-is/hail,https://github.com/hail-is/hail,6.5,5,8,8,0,10,10,-1,10,0,10,10,-1,-1,0,0,-1,-1,8
hanwentao/html2csv,https://github.com/hanwentao/html2csv,2.1,10,0,0,0,0,6,-1,0,0,10,0,-1,-1,0,0,-1,-1,4
hatchetation/freeipa,https://github.com/hatchetation/freeipa,3,10,0,-1,0,0,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10
html5lib/html5lib-python,https://github.com/html5lib/html5lib-python,5,10,8,1,0,7,10,10,0,10,10,0,-1,0,0,0,-1,0,10
humansignal/label-studio,https://github.com/humansignal/label-studio,3.7,8,2,10,0,5,10,0,10,0,10,10,-1,0,7,0,0,0,0
hydralabs/pyamf,https://github.com/hydralabs/pyamf,2.4,10,0,0,0,0,10,-1,0,0,9,0,-1,0,0,0,0,-1,10
i3thuan5/tuitse-tsusin,https://github.com/i3thuan5/tuitse-tsusin,5.6,10,8,10,0,10,3,-1,0,0,10,0,-1,-1,10,0,-1,-1,10
